"job_title_full","salary","company","user_id"
"Junior Manager Innovation Lab - France (M/F/D)",51000,"g","U1"
"Junior Product Manager -  Mobile",70000,"b","U2"
"Junior Brand Marketing Manager - Mobile (M/F/D)",59000,"g","U3"
" Product Analyst - Pricing & Forecasting (M/F/D)",NA,"d","U4"
" Online Marketing Manager",64000,"h","U5"
" Marketing Analyst - New Ventures ",NA,"g","U6"
"Junior Manager Innovation Lab - France (M/F/D)",NA,"e","U7"
"Lead Growth Hacker - New Ventures ",NA,"c","U8"
"Senior Sustainability Manager",NA,"d","U9"
"Lead Data Analyst - Pricing Team (m/f/d)",NA,"f","U10"
"Senior Product Owner - NLP",NA,"g","U11"
"Lead Backend Engineer - Deep Learning",65000,"c","U12"
"Junior UI Designer - (Remote)",NA,"c","U13"
" Marketing Manager - (Remote) m/f/d",NA,"f","U14"
"Lead Data Consultant - Supplier Financing m/f/d",69000,"d","U15"
" Brand Marketing Manager - (Remote)",NA,"f","U16"
" SEO Marketing Manager m/f/d",NA,"e","U17"
"Senior Marketing Manager - New Ventures ",55000,"g","U18"
"Senior Growth Marketing Manager - (Remote)",NA,"e","U19"
"Junior Operations Manager - New Ventures",NA,"g","U20"
"Junior UI Designer - (Remote)",NA,"d","U21"
"Senior AI Researcher - NLP m/f/d",64000,"d","U22"
"Junior Marketing Manager - New Ventures ",55000,"g","U23"
"Junior Machine Learning Engineer - Supplier Financing",NA,"b","U24"
"Lead UI Designer - (Remote)",NA,"a","U25"
"Lead Software Developer - Deep Learning",NA,"b","U26"
"Senior Data Scientist - Supplier Financing M/F/D",NA,"b","U27"
" Onboarding Manager - New Ventures",NA,"f","U28"
" Operations Manager - France",NA,"c","U29"
"Lead Data Analyst - Pricing Team (m/f/d)",NA,"h","U30"
"Senior Operations Manager - APAC (M/F/D)",61000,"d","U31"
"Senior Performance Marketing Manager",NA,"c","U32"
" Brand Manager (m/f/d)",NA,"g","U33"
" Onboarding Manager - New Ventures",67000,"b","U34"
"Lead SEO Manager (M/F/D)",67000,"h","U35"
"Lead Data Science Manager - APAC",NA,"g","U36"
"Lead Product Manager -  Mobile",NA,"g","U37"
" Online Marketing Manager",NA,"g","U38"
"Junior Marketing Manager - New Ventures ",NA,"d","U39"
"Lead UI Designer - (Remote)",67000,"d","U40"
"Lead Data Scientist - Pricing Team",NA,"e","U41"
"Senior Backend Engineer (M/F/D)",NA,"e","U42"
" Brand Marketing Manager - (Remote)",NA,"e","U43"
" SEO Marketing Manager m/f/d",NA,"h","U44"
" Machine Learning Engineer - NLP M/F/D",62000,"e","U45"
" SEO Manager m/f/d",61000,"d","U46"
" Growth Marketing Manager - New Ventures ",67000,"a","U47"
"Lead SEO Marketing Manager - New Ventures ",NA,"d","U48"
"Senior Data Scientist - Supplier Financing M/F/D",NA,"f","U49"
" Offline Marketing Manager - (Remote)",NA,"a","U50"
"Junior Brand Manager - (Remote) m/f/d",59000,"b","U51"
" Data Scientist - Supplier Financing",NA,"e","U52"
" Software Developer - (Remote) (M/F/D)",NA,"f","U53"
" SEO Marketeer - New Ventures ",NA,"c","U54"
"Lead Business Development Manager",57000,"c","U55"
"Junior Machine Learning Engineer - Supplier Financing",NA,"b","U56"
"Junior Data Science Manager (m/f/d)",NA,"e","U57"
"Senior Software Developer - (Remote)",NA,"a","U58"
"Junior Marketing Manager - New Ventures ",68000,"g","U59"
"Junior Product Analyst - NLP",NA,"b","U60"
"Lead Product Analyst - NLP",NA,"c","U61"
"Junior Big Data Analyst - Pricing & Forecasting (M/F/D)",NA,"e","U62"
"Senior Data Science Manager m/f/d",NA,"d","U63"
"Lead Reserch Scientist - Pricing & Forecasting",NA,"g","U64"
"Junior Software Developer",60000,"f","U65"
"Junior Product Owner - NLP",NA,"g","U66"
" Offline Marketing Manager - (Remote)",NA,"h","U67"
